@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
72,'2018/02/09 21:48:40:648',2,291.34491,406.966705,35.487286,266.454834,402.29422,41.456112,231.410553,401.566071,42.752258,186.502792,407.903839,38.31435,155.243439,400.84314,35.346359,1
73,'2018/02/09 21:48:40:698',2,289.994751,406.963623,35.435818,266.739502,402.255981,41.448696,231.32991,401.894958,42.695919,183.951309,402.925781,39.685654,153.770279,401.240112,35.382339,1
74,'2018/02/09 21:48:40:748',2,287.586884,407.016663,35.876026,266.778137,401.439728,41.683128,230.836502,401.826294,42.760391,183.416061,402.338257,39.973473,149.974899,400.807739,35.661785,1
75,'2018/02/09 21:48:40:799',2,287.625916,406.966125,35.888073,267.833984,401.172333,41.775173,231.613281,401.371582,42.967415,184.64386,403.362122,39.818577,150.326401,401.445282,35.738918,1
76,'2018/02/09 21:48:40:848',2,288.29184,406.755493,35.724972,267.360229,400.533691,41.828659,230.842651,400.44928,43.042824,184.175232,403.090668,39.626305,149.378418,400.511017,35.755646,1
77,'2018/02/09 21:48:40:899',2,286.90799,406.644104,35.601463,266.442505,399.780243,41.941242,229.200607,399.510284,43.144516,183.268829,403.42688,39.299744,148.513931,399.827637,35.650555,1
78,'2018/02/09 21:48:40:948',2,283.707153,406.606903,35.352058,266.754669,399.454712,42.018871,228.881378,398.894287,43.259449,183.276413,403.606659,39.069046,148.88826,399.085876,35.57378,1
79,'2018/02/09 21:48:40:998',2,280.527222,406.503998,35.077347,267.406647,399.306213,41.993713,229.209747,399.106873,43.227757,184.11731,404.423126,38.877274,149.879044,399.736298,35.413357,1
80,'2018/02/09 21:48:41:049',2,279.883453,406.618652,35.017262,268.109558,399.457733,42.008865,229.901276,399.461029,43.25243,184.916016,404.929352,38.867874,150.54924,400.162842,35.441013,1
81,'2018/02/09 21:48:41:099',2,279.870148,407.311859,35.052769,268.317261,399.235596,42.11557,230.330933,399.279327,43.322266,185.464386,405.124908,38.79985,151.367279,400.146545,35.423225,1
